iter	Passed	Remaining
800	9681	8449
801	9694	8436
802	9708	8426
803	9719	8414
804	9734	8404
805	9747	8392
806	9760	8381
807	9774	8371
808	9794	8365
809	9809	8356
810	9827	8349
811	9842	8339
812	9858	8330
813	9871	8319
814	9884	8307
815	9896	8295
816	9909	8284
817	9921	8272
818	9934	8260
819	9947	8249
820	9960	8237
821	9973	8225
822	9985	8214
823	9997	8201
824	10010	8190
825	10021	8177
826	10033	8165
827	10045	8153
828	10058	8141
829	10070	8128
830	10082	8116
831	10095	8105
832	10107	8093
833	10120	8081
834	10132	8069
835	10143	8056
836	10155	8044
837	10166	8031
838	10178	8019
839	10191	8007
840	10201	7994
841	10212	7981
842	10226	7970
843	10238	7958
844	10251	7946
845	10261	7932
846	10274	7921
847	10286	7909
848	10299	7897
849	10310	7884
850	10321	7871
851	10333	7859
852	10345	7847
853	10357	7834
854	10370	7823
855	10382	7811
856	10393	7798
857	10405	7786
858	10418	7774
859	10429	7761
860	10443	7750
861	10456	7739
862	10468	7726
863	10480	7714
864	10493	7703
865	10504	7690
866	10518	7679
867	10530	7667
868	10543	7655
869	10556	7644
870	10567	7631
871	10579	7619
872	10590	7606
873	10602	7594
874	10616	7583
875	10628	7571
876	10642	7560
877	10655	7548
878	10668	7537
879	10681	7525
880	10693	7513
881	10705	7501
882	10718	7489
883	10730	7477
884	10742	7465
885	10755	7453
886	10768	7442
887	10781	7430
888	10795	7419
889	10807	7407
890	10824	7398
891	10837	7387
892	10849	7374
893	10861	7362
894	10873	7350
895	10885	7337
896	10900	7327
897	10911	7314
898	10924	7302
899	10940	7293
900	10952	7281
901	10964	7268
902	10978	7257
903	10991	7246
904	11009	7238
905	11026	7229
906	11044	7221
907	11059	7210
908	11073	7199
909	11084	7186
910	11097	7174
911	11108	7162
912	11120	7149
913	11132	7137
914	11145	7125
915	11157	7113
916	11170	7101
917	11182	7089
918	11194	7076
919	11206	7065
920	11218	7052
921	11230	7040
922	11244	7029
923	11254	7015
924	11267	7004
925	11278	6990
926	11289	6978
927	11301	6966
928	11312	6953
929	11323	6940
